Index,Desired BPM,Array 1,Array 2
0,180,180.8601982,177.7625
1,180,180.8601982,177.7625
2,180,176.4996649,175.0461538
3,180,177.3127478,180.5650794
4,180,182.0214488,192.7254237
5,180,182.0214488,192.7254237
6,180,181.7301749,180.5650794
7,180,179.8108229,175.0461538
8,180,180.5402712,183.4580645
9,180,182.5827265,183.4580645
10,180,182.5827265,183.4580645
11,180,183.23923,183.4580645
12,180,182.143884,177.7625
13,180,180.9597805,180.5650794
14,180,181.4594373,183.4580645
15,180,181.4594373,183.4580645
16,180,183.4560438,186.4459016
17,180,182.8778509,180.5650794
18,180,179.1172382,169.8567164
19,180,179.1172382,169.8567164
20,180,178.1011846,177.7625
21,180,178.5939635,180.5650794
22,180,180.5523416,183.4580645
23,180,182.7316338,183.4580645
24,180,182.7316338,183.4580645
25,180,182.2983229,180.5650794
26,180,180.5245366,177.7625
27,180,181.7088096,186.4459016
28,180,181.7088096,186.4459016
29,180,180.9195477,177.7625
30,180,178.7096143,177.7625
31,180,180.8743581,189.5333333
32,180,180.2519865,177.7625
33,180,180.2519865,177.7625
34,180,180.8932021,183.4580645
35,180,179.7237924,175.0461538
36,180,180.4706469,183.4580645
37,180,180.4706469,183.4580645
38,180,178.3478608,169.8567164
39,180,179.3699015,183.4580645
40,180,184.74552,196.0275862
41,180,181.7677592,169.8567164
42,180,181.7677592,169.8567164
43,180,180.8657493,180.5650794
44,180,178.5383123,177.7625
45,180,172.0271154,169.8567164
46,180,172.0271154,169.8567164
47,180,174.9108726,186.4459016
48,180,182.3878255,183.4580645
49,180,183.1905048,183.4580645
50,180,182.6654197,180.5650794
51,180,182.6654197,180.5650794
52,180,180.6346656,177.7625
53,180,178.4805414,177.7625
54,180,179.476046,183.4580645
55,180,182.263459,183.4580645
56,180,182.263459,183.4580645
57,180,180.2931914,172.4121212
58,180,180.347569,180.5650794
59,180,179.287286,175.0461538
60,180,179.287286,175.0461538
61,180,181.3364954,189.5333333
62,180,180.6216964,177.7625
63,180,183.7028743,177
64,180,183.7028743,177
65,180,181.4447237,172.4121212
66,180,181.8473919,183.4580645
67,180,181.0304135,177.7625
68,180,181.5159437,183.4580645
69,180,181.5159437,183.4580645
70,180,180.765255,177.7625
71,180,181.3038169,183.4580645
72,180,179.5254777,172.4121212
73,180,179.5254777,172.4121212
74,180,179.7333981,180.5650794
75,180,181.4917394,186.4459016
76,180,181.3064074,180.5650794
77,180,179.1568861,172.4121212
78,180,179.1568861,172.4121212
79,180,176.0738369,175.0461538
80,180,178.7657362,189.5333333
81,180,185.6855679,186.4459016
82,180,185.6855679,186.4459016
83,180,182.5197976,169.8567164
84,180,183.9225047,189.5333333
85,180,185.8150524,186.4459016
86,180,184.2045419,177.7625
87,180,184.2045419,177.7625
88,180,184.6528139,186.4459016
89,180,180.7158743,164.9681159
90,180,181.2643123,183.4580645
91,180,180.5639499,177.7625
92,180,180.5639499,177.7625
93,180,180.5641758,180.5650794
94,180,181.7409727,186.4459016
95,180,180.402009,175.0461538
96,180,180.402009,175.0461538
97,180,180.434623,180.5650794
98,180,181.7021069,186.4459016
99,180,179.3330288,169.8567164
100,180,181.3730897,189.5333333
101,180,181.3730897,189.5333333
102,180,179.580896,172.4121212
103,180,180.9538971,186.4459016
104,180,186.0542047,192.7254237
105,180,186.0542047,192.7254237
106,180,183.8525945,175.0461538
107,180,176.1541494,167.3764706
108,180,175.3231527,175.0461538
109,180,177.5477025,186.4459016
110,180,177.5477025,186.4459016
111,180,179.8107352,180.5650794
112,180,187.4113051,189.5333333
113,180,185.4815441,177.7625
114,180,185.4815441,177.7625
115,180,180.0782132,177.7625
116,180,178.3414283,177.7625
117,180,178.7861585,180.5650794
118,180,180.6100001,183.4580645
119,180,180.6100001,183.4580645
120,180,177.9632942,167.3764706
121,180,179.6598157,186.4459016
122,180,184.4100759,186.4459016
123,180,184.4100759,186.4459016
124,180,184.2196736,183.4580645
125,180,182.5474343,177.7625
126,180,181.0606681,180.5650794
127,180,181.5401474,183.4580645
128,180,181.5401474,183.4580645
129,180,180.7846179,177.7625
130,180,180.619964,180.5650794
131,180,178.4495968,177.7625
132,180,178.4495968,177.7625
133,180,177.9342742,177.7625
134,180,175.7681839,175.0461538
135,180,176.727563,180.5650794
136,180,179.9924215,183.4580645
137,180,179.9924215,183.4580645
138,180,182.5916538,183.4580645
139,180,180.0446663,169.8567164
140,180,181.3249134,186.4459016
141,180,181.3249134,186.4459016
142,180,182.9247767,183.4580645
143,180,182.4528373,180.5650794
144,180,180.5708909,177.7625
145,180,181.1483256,183.4580645
146,180,181.1483256,183.4580645
147,180,180.4711605,177.7625
148,180,176.9939414,169.8567164
149,180,178.286766,183.4580645
150,180,184.4205793,196.0275862
151,180,184.4205793,196.0275862
152,180,183.0889634,177.7625
153,180,178.8171698,175.0461538
154,180,179.7453487,183.4580645
155,180,179.7453487,183.4580645
156,180,180.3601467,180.5650794
157,180,179.2973481,175.0461538
158,180,181.9829633,192.7254237
159,180,180.5956014,175.0461538
160,180,180.5956014,175.0461538
161,180,176.1841816,172.4121212
162,180,179.49243,192.7254237
163,180,184.7075337,186.4459016
164,180,184.7075337,186.4459016
165,180,180.7596502,164.9681159
166,180,181.8969005,186.4459016
167,180,181.0700204,177.7625
168,180,181.5476292,183.4580645
169,180,181.5476292,183.4580645
170,180,181.3511192,180.5650794
171,180,179.1702997,172.4121212
172,180,178.1144499,177.7625
173,180,178.1144499,177.7625
174,180,179.1831728,183.4580645
175,180,180.2196027,180.5650794
176,180,180.4787102,180.5650794
177,180,182.7132259,183.4580645
178,180,182.7132259,183.4580645
179,180,182.2835966,180.5650794
180,180,182.5184902,183.4580645
181,180,182.127808,180.5650794
182,180,182.127808,180.5650794
183,180,181.033898,180.5650794
184,180,182.733785,189.5333333
185,180,181.739528,177.7625
186,180,181.739528,177.7625
187,180,175.4740943,160.3549296
188,180,175.9317755,177.7625
189,180,178.949963,186.4459016
190,180,178.949963,186.4459016
191,180,178.949963,186.4459016
192,180,173.1368125,149.8842105
193,180,174.6224659,180.5650794
194,180,179.3608923,183.4580645
195,180,178.4979446,175.0461538
196,180,178.4979446,175.0461538
197,180,176.0816911,175.0461538
198,180,177.5569658,183.4580645
199,180,183.5412067,192.7254237
200,180,183.5412067,192.7254237
201,180,182.9459813,180.5650794
202,180,179.6487583,172.4121212
203,180,176.196805,175.0461538
204,180,176.509944,177.7625
205,180,176.509944,177.7625
206,180,178.5258461,183.4580645
207,180,180.055271,180.5650794
208,180,179.5967168,177.7625
209,180,179.5967168,177.7625
210,180,177.2426893,172.4121212
211,180,177.9071673,180.5650794
212,180,182.1997746,192.7254237
213,180,181.3123197,177.7625
214,180,181.3123197,177.7625
215,180,180.7518894,180.5650794
216,180,182.5081782,189.5333333
217,180,180.4889668,172.4121212
218,180,180.4889668,172.4121212
219,180,174.3240939,169.8567164
220,180,176.1508881,183.4580645
221,180,181.863479,186.4459016
222,180,191.8074616,192.7254237
223,180,191.8074616,192.7254237
224,180,187.4173126,169.8567164
225,180,187.8405167,189.5333333
226,180,185.2816442,175.0461538
227,180,185.2816442,175.0461538
228,180,176.1011934,164.9681159
229,180,177.5725676,183.4580645
230,180,181.6924154,183.4580645
231,180,183.0166522,183.4580645
232,180,183.0166522,183.4580645
233,180,181.9658218,177.7625
234,180,179.0234965,177.7625
235,180,179.3318131,180.5650794
236,180,179.3318131,180.5650794
237,180,177.9478747,172.4121212
238,180,180.9033845,192.7254237
239,180,190.52285,199.445614
240,180,184.9439943,162.6285714
241,180,184.9439943,162.6285714
242,180,179.5578736,177.7625
243,180,174.1985593,172.4121212
244,180,176.6480278,186.4459016
245,180,186.106482,199.445614
246,180,186.106482,199.445614
247,180,184.9982014,180.5650794
248,180,181.3345001,177.7625
249,180,176.6182404,175.0461538
250,180,176.6182404,175.0461538
251,180,177.9862052,183.4580645
