Index,Desired BPM,Array 1,Array 2
0,180,122.4491257,124.026087
1,180,122.4491257,124.026087
2,180,119.3207959,106.8074766
3,180,119.3207959,106.8074766
4,180,121.9757065,132.5953488
5,180,124.5257947,125.3758242
6,180,124.5257947,125.3758242
7,180,123.903189,121.412766
8,180,123.903189,121.412766
9,180,121.1785642,116.5061224
10,180,121.1785642,116.5061224
11,180,115.807096,115.3414141
12,180,115.807096,115.3414141
13,180,116.92823,121.412766
14,180,116.92823,121.412766
15,180,120.5900694,124.026087
16,180,120.5900694,124.026087
17,180,120.5015292,120.1473684
18,180,120.5015292,120.1473684
19,180,119.5253675,116.5061224
20,180,119.5253675,116.5061224
21,180,118.1524759,117.6948454
22,180,118.1524759,117.6948454
23,180,118.8045339,121.412766
24,180,118.8045339,121.412766
25,180,118.1119099,115.3414141
26,180,118.1119099,115.3414141
27,180,120.7065395,131.0850575
28,180,120.7065395,131.0850575
29,180,119.6335144,115.3414141
30,180,119.6335144,115.3414141
31,180,116.8619859,116.5061224
32,180,117.2712554,118.9083333
33,180,117.2712554,118.9083333
34,180,117.5889479,117.6948454
35,180,117.5889479,117.6948454
36,180,120.4102444,126.7555556
37,180,120.4102444,126.7555556
38,180,119.8671646,117.6948454
39,180,119.8671646,117.6948454
40,180,119.1480411,118.9083333
41,180,119.1480411,118.9083333
42,180,117.1499653,116.5061224
43,180,117.1499653,116.5061224
44,180,118.5251896,124.026087
45,180,118.5251896,124.026087
46,180,118.3591208,117.6948454
47,180,118.3591208,117.6948454
48,180,119.492514,124.026087
49,180,119.492514,124.026087
50,180,119.9836548,120.1473684
51,180,119.9836548,120.1473684
52,180,122.024946,122.7053763
53,180,122.024946,122.7053763
54,180,121.90251,121.412766
55,180,120.816105,117.6948454
56,180,120.816105,117.6948454
57,180,120.816105,117.6948454
58,180,117.5649462,114.2
59,180,117.590926,117.6948454
60,180,117.590926,117.6948454
61,180,120.0465187,129.6090909
62,180,120.0465187,129.6090909
63,180,119.8188816,118.9083333
64,180,119.8188816,118.9083333
65,180,118.9388002,117.6948454
66,180,118.9388002,117.6948454
67,180,116.6861515,114.2
68,180,116.6861515,114.2
69,180,118.1541386,124.026087
70,180,118.1541386,124.026087
71,180,118.7197847,118.9083333
72,180,118.7197847,118.9083333
73,180,118.5147968,117.6948454
74,180,118.5147968,117.6948454
75,180,118.5935041,118.9083333
76,180,118.5935041,118.9083333
77,180,118.8138846,118.9083333
78,180,118.8138846,118.9083333
79,180,120.1396713,124.026087
80,180,120.1396713,124.026087
81,180,121.0944923,121.412766
82,180,121.0944923,121.412766
83,180,120.6572605,118.9083333
84,180,119.1903139,117.6948454
85,180,119.1903139,117.6948454
86,180,119.3817248,120.1473684
87,180,119.3817248,120.1473684
88,180,120.1707548,121.412766
89,180,120.1707548,121.412766
90,180,122.407007,125.3758242
91,180,122.407007,125.3758242
92,180,120.7656056,114.2
93,180,120.7656056,114.2
94,180,121.6876493,125.3758242
95,180,121.6876493,125.3758242
96,180,120.1901194,114.2
97,180,120.1901194,114.2
98,180,119.2287799,118.9083333
99,180,119.2287799,118.9083333
100,180,119.6655771,121.412766
101,180,119.6655771,121.412766
102,180,121.1471314,122.7053763
103,180,121.1471314,122.7053763
104,180,121.3463573,121.412766
105,180,123.3561545,124.026087
106,180,123.3561545,124.026087
107,180,123.3561545,124.026087
108,180,120.4487332,108.8190476
109,180,120.4487332,108.8190476
110,180,120.6415397,121.412766
111,180,121.7040623,124.026087
112,180,121.7040623,124.026087
113,180,122.4550478,122.7053763
114,180,122.4550478,122.7053763
115,180,121.2652628,116.5061224
116,180,121.2652628,116.5061224
117,180,119.4975657,118.9083333
118,180,119.4975657,118.9083333
119,180,120.9491637,126.7555556
120,180,120.9491637,126.7555556
121,180,119.3755686,113.0811881
122,180,119.3755686,113.0811881
123,180,119.0251421,118.9083333
124,180,119.0251421,118.9083333
125,180,119.2495874,120.1473684
126,180,119.2495874,120.1473684
127,180,120.1311136,121.412766
128,180,120.1311136,121.412766
129,180,120.1433047,120.1473684
130,180,120.1433047,120.1473684
131,180,119.8963104,118.9083333
132,180,119.8963104,118.9083333
133,180,120.1996015,121.412766
134,180,120.1996015,121.412766
135,180,119.4609057,116.5061224
136,180,119.0464764,118.9083333
137,180,119.0464764,118.9083333
138,180,120.312346,125.3758242
139,180,120.312346,125.3758242
140,180,119.7888459,117.6948454
141,180,119.7888459,117.6948454
142,180,117.8523593,115.3414141
143,180,117.8523593,115.3414141
144,180,119.0871048,124.026087
145,180,119.0871048,124.026087
146,180,122.2802502,122.7053763
147,180,122.2802502,122.7053763
148,180,121.1254246,116.5061224
149,180,121.1254246,116.5061224
150,180,118.1296577,117.6948454
151,180,118.1296577,117.6948454
152,180,119.8548373,126.7555556
153,180,119.8548373,126.7555556
154,180,121.0232838,121.412766
155,180,121.0232838,121.412766
156,180,118.7893963,109.8538462
157,180,118.7893963,109.8538462
158,180,120.1066818,125.3758242
159,180,123.7950815,125.3758242
160,180,123.7950815,125.3758242
161,180,121.6523028,113.0811881
162,180,121.6523028,113.0811881
163,180,118.6842097,117.6948454
164,180,118.6842097,117.6948454
165,180,119.229921,121.412766
166,180,119.229921,121.412766
167,180,121.2805767,124.026087
168,180,121.2805767,124.026087
169,180,122.3491764,122.7053763
170,180,122.3491764,122.7053763
171,180,121.6610078,118.9083333
172,180,121.6610078,118.9083333
173,180,120.5257783,120.1473684
174,180,120.5257783,120.1473684
175,180,120.9616979,122.7053763
176,180,120.9616979,122.7053763
177,180,121.2999989,121.412766
178,180,121.2999989,121.412766
179,180,121.3845742,121.412766
180,180,121.3845742,121.412766
181,180,120.1759422,115.3414141
182,180,120.1759422,115.3414141
183,180,120.1545119,120.1473684
184,180,120.1545119,120.1473684
185,180,115.6656852,109.8538462
186,180,115.6656852,109.8538462
187,180,115.8337726,116.5061224
188,180,118.0783579,125.3758242
189,180,118.0783579,125.3758242
190,180,118.0783579,125.3758242
191,180,118.0783579,125.3758242
192,180,110.1821383,78.59726027
193,180,110.1821383,78.59726027
194,180,114.973946,134.1411765
195,180,114.973946,134.1411765
196,180,120.7725187,122.7053763
197,180,120.7725187,122.7053763
198,180,119.6862978,115.3414141
199,180,119.6862978,115.3414141
200,180,119.1028245,118.9083333
201,180,119.1028245,118.9083333
202,180,119.8233348,122.7053763
203,180,119.8233348,122.7053763
204,180,118.4749055,113.0811881
205,180,118.4749055,113.0811881
206,180,117.8898604,117.6948454
207,180,117.8898604,117.6948454
208,180,119.1171057,124.026087
209,180,119.1171057,124.026087
210,180,122.2892505,122.7053763
211,180,122.2892505,122.7053763
212,180,120.0131479,110.9087379
213,180,120.0131479,110.9087379
214,180,120.8157357,124.026087
215,180,121.2635084,121.412766
216,180,121.2635084,121.412766
217,180,120.3120312,116.5061224
218,180,120.3120312,116.5061224
219,180,121.0548424,124.026087
220,180,121.0548424,124.026087
221,180,119.6838739,114.2
222,180,119.6838739,114.2
223,180,119.1022185,118.9083333
224,180,119.1022185,118.9083333
225,180,120.9150332,128.1662921
226,180,120.9150332,128.1662921
227,180,120.0332511,116.5061224
228,180,120.0332511,116.5061224
229,180,120.0560745,120.1473684
230,180,120.0560745,120.1473684
231,180,120.1199803,120.1473684
232,180,120.1199803,120.1473684
233,180,121.2533135,125.3758242
234,180,121.2533135,125.3758242
235,180,120.7843175,118.9083333
236,180,120.7843175,118.9083333
237,180,118.7577447,115.3414141
238,180,118.7577447,115.3414141
239,180,117.9605702,117.6948454
240,180,118.3979298,120.1473684
241,180,118.3979298,120.1473684
242,180,118.257313,117.6948454
243,180,118.257313,117.6948454
244,180,120.8228619,131.0850575
245,180,120.8228619,131.0850575
246,180,119.2745271,113.0811881
247,180,119.2745271,113.0811881
248,180,118.0897658,117.6948454
249,180,118.0897658,117.6948454
250,180,117.7935755,117.6948454
251,180,117.7935755,117.6948454
252,180,118.2643341,120.1473684
253,180,118.2643341,120.1473684
254,180,120.9040955,126.7555556
255,180,120.9040955,126.7555556
256,180,119.7915593,115.3414141
257,180,119.7915593,115.3414141
258,180,120.3743227,122.7053763
259,180,120.3743227,122.7053763
260,180,119.367741,115.3414141
261,180,119.367741,115.3414141
262,180,119.5236665,120.1473684
263,180,121.8526023,129.6090909
264,180,121.8526023,129.6090909
265,180,121.8526023,129.6090909
266,180,119.8789446,111.9843137
267,180,120.1857089,121.412766
268,180,120.1857089,121.412766
269,180,121.3031709,122.7053763
270,180,121.3031709,122.7053763
271,180,120.1108196,115.3414141
272,180,120.1108196,115.3414141
273,180,121.7219141,128.1662921
274,180,121.7219141,128.1662921
275,180,119.774394,111.9843137
276,180,119.774394,111.9843137
277,180,120.89468,125.3758242
278,180,120.89468,125.3758242
279,180,119.555744,114.2
280,180,119.555744,114.2
281,180,119.6740689,120.1473684
282,180,119.6740689,120.1473684
283,180,121.6091633,128.1662921
284,180,121.6091633,128.1662921
285,180,120.8262997,117.6948454
286,180,120.8262997,117.6948454
287,180,119.3878249,118.9083333
288,180,119.3878249,118.9083333
