Index,Desired BPM,Array 1,Array 2
0,180,212.6099875,214.4075472
1,180,217.0332661,218.5076923
2,180,216.5081223,214.4075472
3,180,215.0377197,214.4075472
4,180,212.23151,210.4592593
5,180,212.6667174,214.4075472
6,180,212.6667174,214.4075472
7,180,214.7053273,218.5076923
8,180,212.3614047,202.9857143
9,180,208.0812603,206.6545455
10,180,209.3465176,214.4075472
11,180,208.074357,202.9857143
12,180,208.5513374,210.4592593
13,180,210.6765403,214.4075472
14,180,208.430355,199.445614
15,180,212.184284,227.2
16,180,210.3445701,202.9857143
17,180,210.3445701,202.9857143
18,180,211.9771945,218.5076923
19,180,210.9126647,206.6545455
20,180,212.4316702,218.5076923
21,180,211.2762453,206.6545455
22,180,212.7225347,218.5076923
23,180,212.2698796,210.4592593
24,180,208.7997163,199.445614
25,180,207.1908382,206.6545455
26,180,210.306396,222.7686275
27,180,209.5760259,206.6545455
28,180,209.5760259,206.6545455
29,180,211.3623592,218.5076923
30,180,211.1817392,210.4592593
31,180,209.9150605,206.6545455
32,180,210.8135578,214.4075472
33,180,210.7426981,210.4592593
34,180,209.0495819,202.9857143
35,180,212.6796655,227.2
36,180,210.0328552,199.445614
37,180,210.118136,210.4592593
38,180,210.3569223,210.4592593
39,180,213.1462742,222.7686275
40,180,213.1462742,222.7686275
41,180,211.1141622,202.9857143
42,180,207.7694496,206.6545455
43,180,209.0970692,214.4075472
44,180,207.8747982,202.9857143
45,180,208.3916904,210.4592593
46,180,206.6024751,199.445614
47,180,206.6128892,206.6545455
48,180,209.864865,222.7686275
49,180,219.8150154,227.2
50,180,219.8150154,227.2
51,180,216.4491552,202.9857143
52,180,207.0247466,202.9857143
53,180,206.7470957,206.6545455
54,180,206.677683,206.6545455
55,180,209.8958719,222.7686275
56,180,213.2796284,214.4075472
57,180,212.7155545,210.4592593
58,180,210.3752051,206.6545455
59,180,211.1816735,214.4075472
60,180,209.5424817,202.9857143
61,180,209.5424817,202.9857143
62,180,204.9527445,202.9857143
63,180,206.843705,214.4075472
64,180,209.5553707,210.4592593
65,180,210.2332871,210.4592593
66,180,209.5175388,206.6545455
67,180,211.3155695,218.5076923
68,180,216.3500555,218.5076923
69,180,215.1718962,210.4592593
70,180,211.8730503,210.4592593
71,180,211.8730503,210.4592593
72,180,210.8934007,236.6166667
73,180,210.8934007,236.6166667
74,180,209.3118634,202.9857143
75,180,211.1510292,218.5076923
76,180,210.2517325,206.6545455
77,180,207.7337016,206.6545455
78,180,206.9243345,206.6545455
79,180,207.6313194,210.4592593
80,180,211.2205639,218.5076923
81,180,208.1819684,196.0275862
82,180,212.9080237,231.8122449
83,180,212.9080237,231.8122449
84,180,210.9235618,202.9857143
85,180,204.6590485,199.445614
86,180,207.4287773,218.5076923
87,180,207.2739309,206.6545455
88,180,207.9109966,210.4592593
89,180,207.6597063,206.6545455
90,180,209.0092745,214.4075472
91,180,207.8045625,202.9857143
92,180,210.7973755,222.7686275
93,180,210.7297522,210.4592593
94,180,210.7297522,210.4592593
95,180,210.5404071,210.4592593
96,180,209.5197911,206.6545455
97,180,209.7076848,210.4592593
98,180,210.2337869,210.4592593
99,180,210.4028912,210.4592593
100,180,211.9704284,214.4075472
101,180,210.1734855,202.9857143
102,180,211.0202979,214.4075472
103,180,214.2114014,218.5076923
104,180,213.460973,210.4592593
105,180,213.460973,210.4592593
106,180,209.1570443,199.445614
107,180,212.7656355,227.2
108,180,208.7575931,192.7254237
109,180,209.8875839,214.4075472
110,180,213.8715872,218.5076923
111,180,214.2735572,214.4075472
112,180,212.0159886,202.9857143
