Index,Array 1,Array 2,,
0,200,56,,
1,198,188,,
2,199,205,1,25
3,197,188,9,144
4,195,195,25,25
5,197,205,9,25
6,197,205,9,25
7,198,198,4,4
8,197,195,9,25
9,197,198,9,4
10,200,209,0,81
11,198,188,4,144
12,196,195,16,25
13,196,195,16,25
14,197,202,9,4
15,201,205,1,25
16,199,191,1,81
17,196,195,16,25
18,197,202,9,4
19,201,202,1,4
20,201,202,1,4
21,200,198,0,4
22,197,191,9,81
23,198,202,4,4
24,202,205,4,25
25,202,202,4,4
26,200,191,0,81
27,201,205,1,25
28,201,205,1,25
29,200,198,0,4
30,197,195,9,25
31,199,205,1,25
32,198,195,4,25
33,195,195,25,25
34,198,209,4,81
35,198,209,4,81
36,196,188,16,144
37,197,202,9,4
38,203,213,9,169
39,201,195,1,25
40,199,198,1,4
41,192,191,64,81
42,192,191,64,81
43,193,195,49,25
44,201,226,1,676
45,197,182,9,324
46,199,205,1,25
47,198,195,4,25
48,194,191,36,81
49,199,217,1,289
50,199,217,1,289
51,198,195,4,25
52,198,198,4,4
53,195,195,25,25
54,190,188,100,144
55,192,202,64,4
56,200,205,0,25
57,200,205,0,25
58,201,202,1,4
59,200,195,0,25
60,199,198,1,4
61,200,205,0,25
62,200,198,0,4
63,198,195,4,25
64,199,202,1,4
65,199,202,1,4
66,197,191,9,81
67,202,221,4,441
68,197,179,9,441
69,197,198,9,4
70,198,202,4,4
71,201,202,1,4
72,201,202,1,4
73,201,202,1,4
74,200,198,0,4
75,200,202,0,4
76,198,188,4,144
77,204,226,16,676
78,201,188,1,144
79,201,188,1,144
80,189,182,121,324
81,197,230,9,900
82,194,182,36,324
83,195,198,25,4
84,201,213,1,169
85,201,202,1,4
86,198,185,4,225
87,198,185,4,225
88,196,195,16,25
89,199,209,1,81
90,197,191,9,81
91,199,209,1,81
92,197,191,9,81
93,199,209,1,81
94,203,205,9,25
95,203,205,9,25
96,201,195,1,25
97,195,191,25,81
98,199,217,1,289
99,195,179,25,441
100,196,202,16,4
101,201,205,1,25
102,201,205,1,25
103,201,202,1,4
104,198,188,4,144
105,203,221,9,441
106,198,179,4,441
107,202,217,4,289
108,202,202,4,4
109,202,202,4,4
110,200,191,0,81
111,200,202,0,4
112,200,198,0,4
113,198,195,4,25
114,199,202,1,4
115,202,205,4,25
116,202,205,4,25
117,200,191,0,81
118,205,226,25,676
119,203,195,9,25
120,193,179,49,441
121,197,213,9,169
122,205,209,25,81
123,203,195,9,25
124,203,195,9,25
125,194,182,36,324
126,196,202,16,4
127,203,213,9,169
128,199,182,1,324
129,200,202,0,4
130,206,226,36,676
131,206,226,36,676
132,200,176,0,576
133,203,217,9,289
134,201,195,1,25
135,201,202,1,4
136,199,191,1,81
137,200,205,0,25
138,198,188,4,144
139,198,188,4,144
140,202,217,4,289
141,199,188,1,144
142,200,202,0,4
143,202,205,4,25
144,204,205,16,25
145,203,198,9,4
146,199,198,1,4
147,199,198,1,4
148,196,195,16,25
149,196,198,16,4
150,197,198,9,4
151,196,191,16,81
152,197,202,9,4
153,198,198,4,4
154,198,198,4,4
155,200,202,0,4
156,198,188,4,144
157,200,209,0,81
158,201,202,1,4
159,200,195,0,25
160,199,198,1,4
161,199,198,1,4
162,200,202,0,4
163,199,195,1,25
164,198,198,4,4
165,196,195,16,25
166,196,198,16,4
167,197,198,9,4
168,203,217,9,289
169,203,217,9,289
170,201,191,1,81
171,199,198,1,4
172,200,200,0,0
173,204,213,16,169
174,200,185,0,225
175,201,205,1,25
176,201,205,1,25
177,200,195,0,25
178,204,221,16,441
179,199,179,1,441
180,202,213,4,169
181,202,200,4,0
182,201,198,1,4
183,201,198,1,4
184,198,195,4,25
185,202,217,4,289
186,202,202,4,4
187,200,195,0,25
188,200,202,0,4
189,200,198,0,4
190,196,185,16,225
191,196,185,16,225
192,198,205,4,25
193,198,198,4,4
194,198,198,4,4
195,198,198,4,4
196,195,182,25,324
197,188,185,144,225
198,188,185,144,225
199,191,205,81,25
200,196,198,16,4
201,197,198,9,4
202,196,191,16,81
203,199,209,1,81
204,211,226,121,676
205,205,179,25,441
206,205,179,25,441
207,194,188,36,144
208,199,221,1,441
209,199,198,1,4
210,198,195,4,25
211,199,205,1,25
212,199,198,1,4
213,199,198,1,4
214,197,191,9,81
215,192,191,64,81
216,197,217,9,289
217,198,198,4,4
218,200,202,0,4
219,199,195,1,25
220,194,188,36,144
221,194,188,36,144
222,196,205,16,25
223,197,198,9,4
224,197,200,9,0
225,201,217,1,289
226,199,191,1,81
227,203,203,9,9
228,203,203,9,9
229,207,209,49,81
230,207,205,49,25
,,,11.6622807,106.9517544
