Index,Array 1,Array 2,,,
0,100,25,,,
1,100,25,,,
2,99,93,,,
3,99,93,,,
4,99,93,,,
5,97,96,,,2.955632386
6,97,96,,,4.970233458
7,97,98,,,
8,97,98,,,
9,98,100,,,
10,98,100,,,
11,101,106,,,
12,101,106,,,
13,101,106,,,
14,100,95,,,
15,100,95,,,
16,100,101,,,
17,100,101,,,
18,99,95,,,
19,99,95,,,
20,99,95,,,
21,100,104,,,
22,100,104,,,
23,99,94,,,
24,99,94,,,
25,100,104,,,
26,100,104,,,
27,100,104,,,
28,100,100,,,
29,100,100,,,
30,100,99,,,
31,100,99,,,
32,99,97,,,
33,99,97,,,
34,100,104,,,
35,100,104,,,
36,100,104,,,
37,99,96,,,
38,99,96,,,
39,96,93,,,
40,96,93,,,
41,96,93,,,
42,97,101,,,
43,97,101,,,
44,102,108,,,
45,102,108,,,
46,101,96,,,
47,101,96,,,
48,97,96,,,
49,97,96,,,
50,97,96,,,
51,97,98,,,
52,97,98,,,
53,98,102,,,
54,98,102,,,
55,97,95,,,
56,97,95,,,
57,97,95,,,
58,97,96,,,
59,97,96,,,
60,98,102,,,
61,98,102,,,
62,101,102,,,
63,101,102,,,
64,101,102,,,
65,100,94,,,
66,100,94,,,
67,100,100,,,
68,100,100,,,
69,99,97,,,
70,99,97,,,
71,99,97,,,
72,99,99,,,
73,99,99,,,
74,96,94,,,
75,96,94,,,
76,97,100,,,
77,97,100,,,
78,97,100,,,
79,101,108,,,
80,101,108,,,
81,102,103,,,
82,102,103,,,
83,101,95,,,
84,101,95,,,
85,101,95,,,
86,98,97,,,
87,98,97,,,
88,98,99,,,
89,98,99,,,
90,100,105,,,
91,100,105,,,
92,99,95,,,
93,99,95,,,
94,99,95,,,
95,98,98,,,
96,98,98,,,
97,97,96,,,
98,97,96,,,
99,98,100,,,
100,98,100,,,
101,98,100,,,
102,97,100,,,
103,97,100,,,
104,98,100,,,
105,98,100,,,
106,99,100,,,
107,99,100,,,
108,99,100,,,
109,99,100,,,
110,99,100,,,
111,101,102,,,
112,101,102,,,
113,100,95,,,
114,100,95,,,
115,100,95,,,
116,100,100,,,
117,100,100,,,
118,100,102,,,
119,100,102,,,
120,102,105,,,
121,102,105,,,
122,102,105,,,
123,101,95,,,
124,101,95,,,
125,101,102,,,
126,101,102,,,
127,102,102,,,
128,102,102,,,
129,102,102,,,
130,101,95,,,
131,101,95,,,
132,99,99,,,
133,99,99,,,
134,99,100,,,
135,99,100,,,
136,101,104,,,
137,101,104,,,
138,101,104,,,
139,100,95,,,
140,100,95,,,
141,100,100,,,
142,100,100,,,
143,98,97,,,
144,98,97,,,
145,98,97,,,
146,98,99,,,
147,98,99,,,
148,99,101,,,
149,99,101,,,
150,99,98,,,
151,99,98,,,
152,99,98,,,
153,97,92,,,
154,97,92,,,
155,98,103,,,
156,98,103,,,
157,102,104,,,
158,102,104,,,
159,102,104,,,
160,100,90,,,
161,100,90,,,
162,99,99,,,
163,99,99,,,
164,98,98,,,
165,98,98,,,
166,98,98,,,
167,99,104,,,
168,99,104,,,
169,98,95,,,
170,98,95,,,
171,95,94,,,
172,95,94,,,
173,95,94,,,
174,97,100,,,
175,97,100,,,
176,104,108,,,
177,104,108,,,
178,102,94,,,
179,102,94,,,
180,102,94,,,
181,102,101,,,
182,102,101,,,
183,101,100,,,
184,101,100,,,
185,99,99,,,
186,99,99,,,
187,99,99,,,
188,97,96,,,
189,97,96,,,
190,97,96,,,
191,97,96,,,
192,82,64,,,
193,82,64,,,
194,85,98,,,
195,85,98,,,
196,85,98,,,
197,91,94,,,
198,91,94,,,
199,97,100,,,
200,97,100,,,
201,97,100,,,
202,97,97,,,
203,97,97,,,
204,102,105,,,
205,102,105,,,
206,101,96,,,
207,101,96,,,
208,101,101,,,
209,101,101,,,
210,101,101,,,
211,101,101,,,
212,101,101,,,
213,100,96,,,
214,100,96,,,
215,100,96,,,
216,96,93,,,
217,96,93,,,
218,97,103,,,
219,97,103,,,
220,102,104,,,
221,102,104,,,
222,101,96,,,
223,101,96,,,
224,101,96,,,
225,97,95,,,
226,97,95,,,
227,98,102,,,
228,98,102,,,
229,98,99,,,
230,98,99,,,
231,98,99,,,
232,98,99,,,
233,98,99,,,
