Index,Array 1,Array 2,,
0,129,138,1,64
1,129,138,1,64
2,131,132,1,4
3,131,132,1,4
4,130,127,0,9
5,130,127,0,9
6,127,123,9,49
7,128,133,4,9
8,128,133,4,9
9,133,140,9,100
10,133,140,9,100
11,132,126,4,16
12,132,126,4,16
13,127,126,9,16
14,128,132,4,4
15,128,132,4,4
16,128,127,4,9
17,128,127,4,9
18,129,132,1,4
19,129,132,1,4
20,128,126,4,16
21,126,126,16,16
22,126,126,16,16
23,126,126,16,16
24,126,126,16,16
25,128,136,4,36
26,128,136,4,36
27,127,122,9,64
28,127,122,9,64
29,127,127,9,9
30,127,127,9,9
31,125,118,25,144
32,129,147,1,289
33,129,147,1,289
34,134,134,16,16
35,134,134,16,16
36,133,130,9,0
37,129,123,1,49
38,129,123,1,49
39,126,124,16,36
40,126,124,16,36
41,126,126,16,16
42,126,126,16,16
43,128,135,4,25
44,128,135,4,25
45,128,126,4,16
46,129,133,1,9
47,129,133,1,9
48,130,130,0,0
49,130,130,0,0
50,130,129,0,1
51,130,129,0,1
52,128,124,4,36
53,128,124,4,36
54,127,127,9,9
55,131,145,1,225
56,131,145,1,225
57,130,126,0,16
58,130,126,0,16
59,127,126,9,16
60,127,126,9,16
61,126,126,16,16
62,127,129,9,1
63,127,129,9,1
64,129,130,1,0
65,129,130,1,0
66,128,122,4,64
67,128,122,4,64
68,126,124,16,36
69,126,124,16,36
70,128,138,4,64
71,136,136,36,36
72,136,136,36,36
73,135,130,25,0
74,135,130,25,0
75,133,132,9,4
76,133,132,9,4
77,125,118,25,144
78,125,127,25,9
79,125,127,25,9
80,127,130,9,0
81,127,130,9,0
82,133,136,9,36
83,133,136,9,36
84,131,122,1,64
85,131,122,1,64
86,124,122,36,64
87,128,143,4,169
88,128,143,4,169
89,132,135,4,25
90,132,135,4,25
91,129,119,1,121
92,129,119,1,121
93,127,126,9,16
94,129,135,1,25
95,129,135,1,25
96,130,130,0,0
97,130,130,0,0
98,129,124,1,36
99,129,124,1,36
100,129,129,1,1
101,130,135,0,25
102,130,135,0,25
103,129,126,1,16
104,129,126,1,16
105,126,124,16,36
106,126,124,16,36
107,127,129,9,1
108,127,129,9,1
109,130,133,0,9
110,133,135,9,25
111,133,135,9,25
112,132,126,4,16
113,132,126,4,16
114,131,130,1,0
115,131,130,1,0
116,128,126,4,16
117,129,132,1,4
118,129,132,1,4
119,127,118,9,144
120,127,118,9,144
121,129,135,1,25
122,129,135,1,25
123,134,135,16,25
124,134,135,16,25
125,131,118,1,144
126,131,118,1,144
127,126,123,16,49
128,127,130,9,0
129,127,130,9,0
130,132,141,4,121
131,132,141,4,121
132,135,136,25,36
133,135,136,25,36
134,133,124,9,36
135,125,122,25,64
136,125,122,25,64
137,127,135,9,25
138,127,135,9,25
139,129,130,1,0
140,129,130,1,0
141,130,130,0,0
142,129,126,1,16
143,129,126,1,16
144,130,135,0,25
145,130,135,0,25
146,130,129,0,1
147,130,129,0,1
148,129,129,1,1
149,129,130,1,0
150,129,130,1,0
151,130,130,0,0
152,130,130,0,0
153,128,122,4,64
154,128,122,4,64
155,127,126,9,16
156,127,126,9,16
157,127,127,9,9
158,129,136,1,36
159,129,136,1,36
160,132,133,4,9
161,132,133,4,9
162,130,122,0,64
163,130,122,0,64
164,129,129,1,1
165,130,136,0,36
166,130,136,0,36
167,129,127,1,9
168,129,127,1,9
169,126,123,16,49
170,126,123,16,49
171,125,124,25,36
172,125,124,25,36
173,126,132,16,4
174,131,133,1,9
175,131,133,1,9
176,130,127,0,9
177,130,127,0,9
178,130,130,0,0
179,130,130,0,0
180,131,133,1,9
181,131,133,1,9
182,130,124,0,36
183,128,127,4,9
184,128,127,4,9
185,130,136,0,36
186,130,136,0,36
187,132,133,4,9
188,132,133,4,9
189,129,119,1,121
190,127,126,9,16
191,127,126,9,16
192,128,130,4,0
193,128,130,4,0
194,132,138,4,64
195,132,138,4,64
196,132,138,4,64
197,132,138,4,64
198,123,126,49,16
199,124,126,36,16
200,124,126,36,16
201,127,133,9,9
202,127,133,9,9
203,129,130,1,0
204,129,130,1,0
205,131,132,1,4
206,130,126,0,16
207,130,126,0,16
208,129,129,1,1
209,129,129,1,1
210,128,127,4,9
211,128,127,4,9
212,127,127,9,9
213,127,127,9,9
214,127,129,9,1
215,128,130,4,0
216,128,130,4,0
217,128,129,4,1
218,128,129,4,1
219,132,135,4,25
220,132,135,4,25
221,133,133,9,9
222,132,130,4,0
223,132,130,4,0
224,129,124,1,36
225,129,124,1,36
226,128,127,4,9
227,128,127,4,9
228,129,129,1,1
229,129,127,1,9
230,129,127,1,9
231,129,130,1,0
232,129,130,1,0
,,,6.603448276,30.92241379
,,,2.57,5.57
