Index,Array 1,Array 2,,
0,166,68,576,14884
1,169,182,441,64
2,179,179,121,121
3,179,179,121,121
4,197,205,49,225
5,197,195,49,25
6,195,191,25,1
7,188,182,4,64
8,188,188,4,4
9,188,188,4,4
10,188,188,4,4
11,189,191,1,1
12,193,202,9,144
13,191,182,1,64
14,192,195,4,25
15,192,195,4,25
16,196,202,36,144
17,193,182,9,64
18,183,176,49,196
19,186,198,16,64
20,186,198,16,64
21,190,191,0,1
22,203,205,169,225
23,197,171,49,361
24,189,185,1,25
25,191,198,1,64
26,191,198,1,64
27,189,182,1,64
28,183,179,49,121
29,183,185,49,25
30,188,205,4,225
31,188,205,4,225
32,187,182,9,64
33,187,188,9,4
34,187,185,9,25
35,189,198,1,64
36,196,198,36,64
37,196,198,36,64
38,194,188,16,4
39,188,182,4,64
40,180,176,100,196
41,184,202,36,144
42,200,209,100,361
43,200,209,100,361
44,195,176,25,196
45,193,191,9,1
46,182,176,64,196
47,182,182,64,64
48,182,182,64,64
49,183,185,49,25
50,186,188,16,4
51,195,209,25,361
52,193,185,9,25
53,186,182,16,64
54,186,182,16,64
55,186,188,16,4
56,188,188,4,4
57,191,191,1,1
58,189,179,1,121
59,189,179,1,121
60,189,191,1,1
61,191,191,1,1
62,197,202,49,144
63,193,176,9,196
64,193,195,9,25
65,193,195,9,25
66,195,202,25,144
67,191,176,1,196
68,189,188,1,4
69,192,202,4,144
70,190,182,0,64
71,190,182,0,64
72,187,185,9,25
73,189,195,1,25
74,194,195,16,25
75,192,185,4,25
76,192,185,4,25
77,185,179,25,121
78,188,198,4,64
79,187,185,9,25
80,191,209,1,361
81,188,176,4,196
82,188,176,4,196
83,178,174,144,256
84,180,188,100,4
85,189,202,1,144
86,189,188,1,4
87,189,188,1,4
88,188,185,4,25
89,186,185,16,25
90,181,179,81,121
91,183,191,49,1
92,183,191,49,1
93,183,182,49,64
94,191,221,1,961
95,190,188,0,4
96,187,182,9,64
97,186,185,16,25
98,188,195,4,25
99,188,195,4,25
100,194,195,16,25
101,190,174,0,256
102,189,188,1,4
103,190,195,0,25
104,190,195,0,25
105,190,188,0,4
106,192,198,4,64
107,190,182,0,64
108,187,185,9,25
109,190,202,0,144
110,190,202,0,144
111,187,174,9,256
112,189,195,1,25
113,189,188,1,4
114,189,191,1,1
115,189,191,1,1
116,188,182,4,64
117,188,188,4,4
118,189,191,1,1
119,189,188,1,4
120,187,182,9,64
121,187,182,9,64
122,186,185,16,25
123,191,209,1,361
124,189,182,1,64
125,190,195,0,25
126,190,195,0,25
127,188,182,4,64
128,190,198,0,64
129,190,188,0,4
130,187,179,9,121
131,189,195,1,25
132,189,195,1,25
133,188,182,4,64
134,190,198,0,64
135,189,185,1,25
136,189,191,1,1
137,189,188,1,4
138,189,188,1,4
139,187,179,9,121
140,189,198,1,64
141,197,202,49,144
142,195,185,25,25
143,190,188,0,4
144,190,188,0,4
145,185,182,25,64
146,186,188,16,4
147,190,198,0,64
148,188,179,4,121
149,188,179,4,121
150,189,195,1,25
151,186,176,16,196
152,188,195,4,25
153,187,185,9,25
154,191,205,1,225
155,191,205,1,225
156,190,188,0,4
157,192,198,4,64
158,189,176,1,196
159,184,182,36,64
160,184,182,36,64
161,186,195,16,25
162,187,188,9,4
163,190,191,0,1
164,190,188,0,4
165,187,179,9,121
166,187,179,9,121
167,186,185,16,25
168,187,191,9,1
169,185,176,25,196
170,189,205,1,225
171,193,195,9,25
172,193,195,9,25
173,191,182,1,64
174,191,191,1,1
175,189,182,1,64
176,188,188,4,4
177,188,188,4,4
178,184,182,36,64
179,185,191,25,1
180,187,188,9,4
181,194,195,16,25
182,194,195,16,25
183,193,188,9,4
184,192,191,4,1
185,189,188,1,4
186,192,202,4,144
187,191,185,1,25
188,192,198,4,64
189,192,198,4,64
190,192,191,4,1
191,189,179,1,121
192,191,198,1,64
193,188,174,4,256
194,188,174,4,256
195,188,188,4,4
196,188,188,4,4
197,184,169,36,441
198,187,198,9,64
199,187,185,9,25
200,187,185,9,25
201,184,176,36,196
202,186,195,16,25
203,194,202,16,144
204,191,179,1,121
205,193,202,9,144
206,193,202,9,144
207,191,182,1,64
208,192,195,4,25
209,191,185,1,25
210,185,179,25,121
211,185,179,25,121
212,186,188,16,4
213,185,182,25,64
214,188,198,4,64
215,187,182,9,64
216,189,198,1,64
217,189,198,1,64
218,189,188,1,4
219,188,185,4,25
220,188,188,4,4
221,186,179,16,121
222,186,179,16,121
223,186,188,16,4
224,186,185,16,25
225,188,198,4,64
226,186,179,16,121
227,193,221,9,961
228,193,221,9,961
,,,15.08849558,87.97345133
