Index,Array 1,Array 2,,
0,221,219,1,1
1,221,221,1,1
2,218,205,4,225
3,218,205,4,225
4,220,226,0,36
5,226,230,36,100
6,223,209,9,121
7,219,217,1,9
8,218,217,4,9
9,219,221,1,1
10,219,217,1,9
11,220,226,0,36
12,219,213,1,49
13,218,217,4,9
14,222,240,4,400
15,219,205,1,225
16,219,221,1,1
17,217,209,9,121
18,219,226,1,36
19,225,226,25,36
20,223,213,9,49
21,214,209,36,121
22,220,245,0,625
23,219,213,1,49
24,220,226,0,36
25,220,226,0,36
26,216,202,16,324
27,211,209,81,121
28,217,240,9,400
29,213,198,49,484
30,218,240,4,400
31,214,198,36,484
32,221,250,1,900
33,219,213,1,49
34,225,213,25,49
35,223,217,9,9
36,218,217,4,9
37,207,198,169,484
38,215,245,25,625
39,225,230,25,100
40,223,213,9,49
41,222,221,4,1
42,212,205,64,225
43,218,240,4,400
44,218,240,4,400
45,213,195,49,625
46,217,235,9,225
47,216,213,16,49
48,213,213,49,49
49,218,240,4,400
50,220,221,0,1
51,218,209,4,121
52,215,213,25,49
53,216,221,16,1
54,215,213,25,49
55,217,226,9,36
56,220,221,0,1
57,219,217,1,9
58,215,209,25,121
59,219,235,1,225
60,216,205,16,225
61,219,230,1,100
62,229,235,81,225
63,225,209,25,121
64,220,217,0,9
65,220,217,0,9
66,213,209,49,121
67,216,230,16,100
68,222,226,4,36
69,220,213,0,49
70,213,209,49,121
71,216,226,16,36
72,227,240,49,400
73,221,195,1,625
74,218,217,4,9
75,220,226,0,36
76,226,230,36,100
77,225,221,25,1
78,216,191,16,841
79,219,230,1,100
80,223,226,9,36
81,225,226,25,36
82,223,217,9,9
83,222,221,4,1
84,221,221,1,1
85,221,221,1,1
86,212,202,64,324
87,217,235,9,225
88,220,221,0,1
89,227,230,49,100
90,221,195,1,625
91,228,256,64,1296
92,224,209,16,121
93,211,209,81,121
94,214,226,36,36
95,224,224,16,16
96,221,209,1,121
97,218,217,4,9
98,224,250,16,900
99,244,245,576,625
100,231,179,121,1681
101,227,226,49,36
102,226,226,36,36
103,220,217,0,9
104,215,213,25,49
105,215,213,25,49
106,222,256,4,1296
107,222,256,4,1296
108,221,217,1,9
109,215,202,25,324
110,218,218,4,4
111,234,234,196,196
112,231,221,121,1
113,222,222,4,4
114,224,224,16,16
115,231,231,121,121
116,228,228,64,64
117,236,268,256,2304
118,227,191,49,841
119,228,230,64,100
120,225,213,25,49
121,220,217,0,9
122,222,230,4,100
123,222,221,4,1
124,217,198,9,484
125,219,226,1,36
126,225,230,25,100
127,239,245,361,625
128,239,245,361,625
129,232,232,144,144
130,231,226,121,36
131,221,198,1,484
132,225,240,25,400
133,232,232,144,144
134,231,226,121,36
135,224,213,16,49
136,219,217,1,9
137,210,210,100,100
138,212,221,64,1
139,223,240,9,400
140,231,231,121,121
141,229,229,81,81
142,232,245,144,625
143,227,205,49,225
144,226,226,36,36
145,226,226,36,36
146,226,226,36,36
147,220,217,0,9
148,220,221,0,1
149,220,221,0,1
150,217,205,9,225
151,214,213,36,49
152,218,218,4,4
153,233,240,169,400
154,227,202,49,324
155,218,213,4,49
156,220,230,0,100
157,224,226,16,36
158,223,217,9,9
159,224,226,16,36
160,222,213,4,49
161,215,213,25,49
162,218,230,4,100
163,220,221,0,1
164,219,217,1,9
165,214,202,36,324
166,216,226,16,36
167,215,213,25,49
168,218,230,4,100
169,218,230,4,100
170,215,202,25,324
171,219,235,1,225
172,217,209,9,121
173,221,235,1,225
174,224,226,16,36
175,223,217,9,9
176,217,209,9,121
177,219,218,1,4
178,228,245,64,625
179,223,205,9,225
180,225,235,25,225
181,221,205,1,225
182,213,209,49,121
183,216,226,16,36
184,215,215,25,25
185,222,250,4,900
186,231,235,121,225
187,228,217,64,9
188,216,205,16,225
189,220,235,0,225
190,220,235,0,225
191,219,217,1,9
192,215,215,25,25
193,220,220,0,0
194,239,250,361,900
195,228,185,64,1225
196,228,185,64,1225
197,215,209,25,121
198,218,230,4,100
199,218,217,4,9
200,220,230,0,100
201,219,219,1,1
202,226,256,36,1296
203,224,217,16,9
204,216,205,16,225
205,216,217,16,9
206,218,226,4,36
207,220,221,0,1
208,218,209,4,121
209,215,213,25,49
210,218,230,4,100
211,218,230,4,100
212,215,205,25,225
213,215,217,25,9
214,220,235,0,225
215,234,235,196,225
216,228,205,64,225
217,223,221,9,1
218,216,213,16,49
219,217,221,9,1
220,215,209,25,121
221,221,245,1,625
222,224,226,16,36
,,,33.68018018,203.4009009
