Index,Array 1,Array 2,,
0,89,85,1,25
1,89,85,1,25
2,89,91,1,1
3,89,91,1,1
4,89,91,1,1
5,90,90,0,0
6,90,90,0,0
7,90,90,0,0
8,90,90,0,0
9,90,90,0,0
10,89,88,1,4
11,89,88,1,4
12,89,88,1,4
13,90,92,0,4
14,90,92,0,4
15,89,84,1,36
16,89,84,1,36
17,89,84,1,36
18,89,91,1,1
19,89,91,1,1
20,92,91,4,1
21,92,91,4,1
22,92,91,4,1
23,91,91,1,1
24,91,87,1,9
25,91,87,1,9
26,89,88,1,4
27,89,88,1,4
28,89,90,1,0
29,89,90,1,0
30,89,90,1,0
31,89,87,1,9
32,89,87,1,9
33,89,90,1,0
34,89,90,1,0
35,89,90,1,0
36,88,86,4,16
37,88,86,4,16
38,89,91,1,1
39,89,91,1,1
40,89,91,1,1
41,89,88,1,4
42,89,88,1,4
43,89,88,1,4
44,90,93,0,9
45,90,93,0,9
46,90,90,0,0
47,90,90,0,0
48,90,90,0,0
49,90,91,0,1
50,90,91,0,1
51,89,86,1,16
52,89,86,1,16
53,89,86,1,16
54,89,90,1,0
55,89,90,1,0
56,89,88,1,4
57,89,88,1,4
58,89,88,1,4
59,89,90,1,0
60,89,90,1,0
61,90,91,0,1
62,90,91,0,1
63,90,91,0,1
64,91,91,1,1
65,91,91,1,1
66,91,91,1,1
67,90,90,0,0
68,90,90,0,0
69,90,91,0,1
70,90,91,0,1
71,90,91,0,1
72,90,90,0,0
73,90,90,0,0
74,91,92,1,4
75,91,92,1,4
76,91,92,1,4
77,89,79,1,121
78,89,79,1,121
79,89,79,1,121
80,89,91,1,1
81,89,91,1,1
82,90,91,0,1
83,90,91,0,1
84,90,91,0,1
85,90,88,0,4
86,90,88,0,4
87,91,93,1,9
88,91,93,1,9
89,91,93,1,9
90,91,92,1,4
91,91,92,1,4
92,91,90,1,0
93,91,90,1,0
94,91,90,1,0
95,90,88,0,4
96,90,88,0,4
97,89,89,1,1
98,89,89,1,1
99,89,89,1,1
100,86,85,16,25
101,86,85,16,25
102,86,85,16,25
103,87,87,9,9
104,87,87,9,9
105,87,87,9,9
106,87,87,9,9
107,87,87,9,9
108,91,92,1,4
109,91,92,1,4
110,91,90,1,0
111,91,90,1,0
112,91,90,1,0
113,89,85,1,25
114,89,85,1,25
115,89,85,1,25
116,90,93,0,9
117,90,93,0,9
118,89,85,1,25
119,89,85,1,25
120,89,85,1,25
121,90,94,0,16
122,90,94,0,16
123,89,85,1,25
124,89,85,1,25
125,89,85,1,25
126,89,89,1,1
127,89,89,1,1
128,89,89,1,1
129,89,89,1,1
130,89,89,1,1
131,89,89,1,1
132,89,89,1,1
133,89,89,1,1
134,90,95,0,25
135,90,95,0,25
136,90,90,0,0
137,90,90,0,0
138,90,90,0,0
139,89,85,1,25
140,89,85,1,25
141,89,90,1,0
142,89,90,1,0
143,89,90,1,0
144,89,88,1,4
145,89,88,1,4
146,89,90,1,0
147,89,90,1,0
148,89,90,1,0
149,89,87,1,9
150,89,87,1,9
151,89,87,1,9
152,90,93,0,9
153,90,93,0,9
154,90,90,0,0
155,90,90,0,0
156,90,90,0,0
157,89,87,1,9
158,89,87,1,9
159,87,84,9,36
160,87,84,9,36
161,87,84,9,36
162,89,95,1,25
163,89,95,1,25
164,94,92,16,4
165,94,92,16,4
166,94,92,16,4
167,93,88,9,4
168,93,88,9,4
169,93,88,9,4
170,89,86,1,16
171,89,86,1,16
172,86,85,16,25
173,86,85,16,25
174,86,85,16,25
175,88,96,4,36
176,88,96,4,36
177,87,85,9,25
178,87,85,9,25
179,87,85,9,25
180,89,97,1,49
181,89,97,1,49
182,92,94,4,16
183,92,94,4,16
184,92,94,4,16
185,90,82,0,64
186,90,82,0,64
187,90,82,0,64
188,83,80,49,100
189,83,80,49,100
190,86,98,16,64
191,86,98,16,64
192,86,98,16,64
193,92,95,4,25
194,92,95,4,25
195,91,85,1,25
196,91,85,1,25
197,91,85,1,25
198,90,90,0,0
199,90,90,0,0
200,98,92,64,4
201,98,92,64,4
202,98,92,64,4
203,95,93,25,9
204,95,93,25,9
205,95,93,25,9
206,86,83,16,49
207,86,83,16,49
208,88,94,4,16
209,88,94,4,16
210,88,94,4,16
211,89,90,1,0
212,89,90,1,0
213,89,88,1,4
214,89,88,1,4
215,89,88,1,4
216,90,92,0,4
217,90,92,0,4
218,89,87,1,9
219,89,87,1,9
220,89,87,1,9
221,86,82,16,64
222,86,82,16,64
223,86,82,16,64
224,87,90,9,0
225,87,90,9,0
226,92,101,4,121
227,92,101,4,121
228,92,101,4,121
229,92,101,4,121
230,92,101,4,121
231,92,101,4,121
,,,4.255411255,16.55411255
,,,2.06,4.06
