Index,Array 1,Array 2,,
0,96,38,196,5184
1,96,38,196,5184
2,97,102,169,64
3,97,102,169,64
4,101,101,81,81
5,101,101,81,81
6,108,109,4,1
7,108,109,4,1
8,107,103,9,49
9,107,103,9,49
10,107,103,9,49
11,108,112,4,4
12,108,112,4,4
13,109,110,1,0
14,109,110,1,0
15,109,108,1,4
16,109,108,1,4
17,110,112,0,4
18,110,112,0,4
19,109,107,1,9
20,109,107,1,9
21,109,111,1,1
22,109,111,1,1
23,111,112,1,4
24,111,112,1,4
25,111,109,1,1
26,111,109,1,1
27,109,104,1,36
28,109,104,1,36
29,110,113,0,9
30,110,113,0,9
31,110,113,0,9
32,109,104,1,36
33,109,104,1,36
34,110,113,0,9
35,110,113,0,9
36,109,107,1,9
37,109,107,1,9
38,109,110,1,0
39,109,110,1,0
40,108,104,4,36
41,108,104,4,36
42,108,108,4,4
43,108,108,4,4
44,108,110,4,0
45,108,110,4,0
46,109,109,1,1
47,109,109,1,1
48,111,113,1,9
49,111,113,1,9
50,111,109,1,1
51,111,109,1,1
52,109,108,1,4
53,109,108,1,4
54,109,108,1,4
55,108,107,4,9
56,108,107,4,9
57,108,110,4,0
58,108,110,4,0
59,109,110,1,0
60,109,110,1,0
61,108,106,4,16
62,108,106,4,16
63,108,109,4,1
64,108,109,4,1
65,109,111,1,1
66,109,111,1,1
67,112,112,4,4
68,112,112,4,4
69,111,109,1,1
70,111,109,1,1
71,111,109,1,1
72,108,101,4,81
73,108,101,4,81
74,107,107,9,9
75,107,107,9,9
76,109,117,1,49
77,109,117,1,49
78,108,103,4,49
79,108,103,4,49
80,108,108,4,4
81,108,108,4,4
82,110,116,0,36
83,110,116,0,36
84,110,108,0,4
85,110,108,0,4
86,109,108,1,4
87,109,108,1,4
88,106,105,16,25
89,106,105,16,25
90,108,117,4,49
91,108,117,4,49
92,108,107,4,9
93,108,107,4,9
94,108,107,4,9
95,108,109,4,1
96,108,109,4,1
97,108,107,4,9
98,108,107,4,9
99,108,109,4,1
100,108,109,4,1
101,109,112,1,4
102,109,112,1,4
103,108,104,4,36
104,108,104,4,36
105,108,110,4,0
106,108,110,4,0
107,110,112,0,4
108,110,112,0,4
109,108,102,4,64
110,108,102,4,64
111,109,112,1,4
112,109,112,1,4
113,112,113,4,9
114,112,113,4,9
115,112,112,4,4
116,112,112,4,4
117,112,112,4,4
118,111,108,1,4
119,111,108,1,4
120,107,101,9,81
121,107,101,9,81
122,107,108,9,4
123,107,108,9,4
124,109,112,1,4
125,109,112,1,4
126,113,113,9,9
127,113,113,9,9
128,112,108,4,4
129,112,108,4,4
130,112,112,4,4
131,112,112,4,4
132,111,109,1,1
133,111,109,1,1
134,111,109,1,1
135,108,104,4,36
136,108,104,4,36
137,108,110,4,0
138,108,110,4,0
139,109,109,1,1
140,109,109,1,1
141,110,110,0,0
142,110,110,0,0
143,112,112,4,4
144,112,112,4,4
145,111,107,1,9
146,111,107,1,9
147,108,107,4,9
148,108,107,4,9
149,109,113,1,9
150,109,113,1,9
151,113,118,9,64
152,113,118,9,64
153,111,101,1,81
154,111,101,1,81
155,108,106,4,16
156,108,106,4,16
157,108,106,4,16
158,108,109,4,1
159,108,109,4,1
160,109,111,1,1
161,109,111,1,1
162,109,107,1,9
163,109,107,1,9
164,110,112,0,4
165,110,112,0,4
166,110,110,0,0
167,110,110,0,0
168,110,108,0,4
169,110,108,0,4
170,108,107,4,9
171,108,107,4,9
172,105,103,25,49
173,105,103,25,49
174,107,113,9,9
175,107,113,9,9
176,109,110,1,0
177,109,110,1,0
178,109,110,1,0
179,111,112,1,4
180,111,112,1,4
181,110,105,0,25
182,110,105,0,25
183,108,107,4,9
184,108,107,4,9
185,108,109,4,1
186,108,109,4,1
187,107,105,9,25
188,107,105,9,25
189,108,113,4,9
190,108,113,4,9
191,108,108,4,4
192,108,108,4,4
193,108,108,4,4
194,108,108,4,4
195,101,72,81,1444
196,101,72,81,1444
197,103,111,49,1
198,103,111,49,1
199,103,111,49,1
200,107,109,9,1
201,107,109,9,1
202,108,108,4,4
203,108,108,4,4
204,107,104,9,36
205,107,104,9,36
206,107,108,9,4
207,107,108,9,4
208,108,111,4,1
209,108,111,4,1
210,108,108,4,4
211,108,108,4,4
212,108,107,4,9
213,108,107,4,9
214,109,113,1,9
215,109,113,1,9
216,109,109,1,1
217,109,109,1,1
218,109,109,1,1
219,109,109,1,1
220,109,109,1,1
221,107,100,9,100
222,107,100,9,100
223,109,115,1,25
224,109,115,1,25
225,115,118,25,64
226,115,118,25,64
227,113,107,9,9
228,113,107,9,9
229,110,108,0,4
230,110,108,0,4
,,,4.915178571,26.69196429
