Index,Array 1,Array 2,,
0,159,153,81,9
1,159,153,81,9
2,156,155,36,25
3,153,151,9,1
4,153,151,9,1
5,149,147,1,9
6,149,147,1,9
7,148,147,4,9
8,142,140,64,100
9,142,140,64,100
10,145,155,25,25
11,145,145,25,25
12,145,145,25,25
13,146,147,16,9
14,151,153,1,9
15,151,153,1,9
16,151,149,1,1
17,151,151,1,1
18,151,151,1,1
19,151,153,1,9
20,153,157,9,49
21,153,157,9,49
22,153,153,9,9
23,152,151,4,1
24,152,151,4,1
25,146,130,16,400
26,146,130,16,400
27,143,141,49,81
28,145,153,25,9
29,145,153,25,9
30,152,157,4,49
31,151,147,1,9
32,151,147,1,9
33,152,155,4,25
34,152,151,4,1
35,152,151,4,1
36,151,149,1,1
37,152,155,4,25
38,152,155,4,25
39,150,141,0,81
40,151,153,1,9
41,151,153,1,9
42,150,145,0,25
43,150,145,0,25
44,148,147,4,9
45,142,141,64,81
46,142,141,64,81
47,145,157,25,49
48,149,151,1,1
49,149,151,1,1
50,153,155,9,25
51,150,140,0,100
52,150,140,0,100
53,147,145,9,25
54,149,155,1,25
55,149,155,1,25
56,152,153,4,9
57,151,145,1,25
58,151,145,1,25
59,151,151,1,1
60,151,153,1,9
61,151,153,1,9
62,149,143,1,49
63,149,143,1,49
64,144,141,36,81
65,147,157,9,49
66,147,157,9,49
67,147,145,9,25
68,148,151,4,1
69,148,151,4,1
70,150,151,0,1
71,151,151,1,1
72,151,151,1,1
73,149,140,1,100
74,149,149,1,1
75,149,149,1,1
76,148,147,4,9
77,150,157,0,49
78,150,157,0,49
79,149,147,1,9
80,149,147,1,9
81,149,149,1,1
82,150,155,0,25
83,150,155,0,25
84,148,141,4,81
85,149,153,1,9
86,149,153,1,9
87,152,153,4,9
88,149,136,1,196
89,149,136,1,196
90,151,157,1,49
91,154,155,16,25
92,154,155,16,25
93,152,143,4,49
94,145,145,25,25
95,145,145,25,25
96,146,151,16,1
97,146,151,16,1
98,145,143,25,49
99,146,149,16,1
100,146,149,16,1
101,151,159,1,81
102,150,145,0,25
103,150,145,0,25
104,151,153,1,9
105,151,149,1,1
106,151,149,1,1
107,147,138,9,144
108,148,151,4,1
109,148,151,4,1
110,151,153,1,9
111,154,155,16,25
112,154,155,16,25
113,153,151,9,1
114,151,149,1,1
115,151,149,1,1
116,148,147,4,9
117,148,147,4,9
118,146,145,16,25
119,147,153,9,9
120,147,153,9,9
121,152,153,4,9
122,150,140,0,100
123,150,140,0,100
124,150,151,0,1
125,151,151,1,1
126,151,151,1,1
127,150,147,0,9
128,151,153,1,9
129,151,153,1,9
130,151,149,1,1
131,148,143,4,49
132,148,143,4,49
133,145,143,25,49
134,148,159,4,81
135,148,159,4,81
136,147,141,9,81
137,147,141,9,81
138,148,153,4,9
139,147,143,9,49
140,147,143,9,49
141,144,143,36,49
142,147,161,9,121
143,147,161,9,121
144,150,151,0,1
145,149,147,1,9
146,149,147,1,9
147,147,147,9,9
148,149,155,1,25
149,149,155,1,25
150,147,140,9,100
151,149,157,1,49
152,149,157,1,49
153,149,149,1,1
154,149,151,1,1
155,149,151,1,1
156,148,143,4,49
157,148,143,4,49
158,149,155,1,25
159,154,157,16,49
160,154,157,16,49
161,152,143,4,49
162,144,140,36,100
163,144,140,36,100
164,145,151,25,1
165,152,164,4,196
166,152,164,4,196
167,151,149,1,1
168,147,138,9,144
169,147,138,9,144
170,148,153,4,9
171,149,149,1,1
172,149,149,1,1
173,149,147,1,9
174,149,147,1,9
175,147,145,9,25
176,148,153,4,9
177,148,153,4,9
178,149,149,1,1
179,148,145,4,25
180,148,145,4,25
181,150,157,0,49
182,149,145,1,25
183,149,145,1,25
184,145,143,25,49
185,148,159,4,81
186,148,159,4,81
187,147,141,9,81
188,146,145,16,25
189,146,145,16,25
190,148,157,4,49
191,151,153,1,9
192,151,153,1,9
193,148,138,4,144
194,148,138,4,144
195,148,149,4,1
196,148,149,4,1
197,148,149,4,1
198,142,116,64,1156
199,144,153,36,9
200,144,153,36,9
201,146,147,16,9
202,144,138,36,144
203,144,138,36,144
204,146,155,16,25
205,153,155,9,25
206,153,155,9,25
207,151,143,1,49
208,145,143,25,49
209,145,143,25,49
210,145,147,25,9
211,148,157,4,49
212,148,157,4,49
213,147,145,9,25
214,147,145,9,25
215,149,155,1,25
216,155,161,25,121
217,155,161,25,121
218,153,143,9,49
219,149,147,1,9
220,149,147,1,9
,,,8.801843318,44.52995392
