Index,Array 1,Array 2,,
0,180,15,,
1,180,15,,
2,177,166,9,196
3,165,153,225,729
4,165,153,225,729
5,163,161,289,361
6,166,176,196,16
7,171,174,81,36
8,171,174,81,36
9,178,182,4,4
10,177,171,9,81
11,177,176,9,16
12,172,171,64,81
13,172,171,64,81
14,174,182,36,4
15,176,182,16,4
16,185,182,25,4
17,185,182,25,4
18,189,191,81,121
19,191,191,121,121
20,187,169,49,121
21,180,176,0,16
22,180,176,0,16
23,179,179,1,1
24,174,171,36,81
25,175,179,25,1
26,175,179,25,1
27,180,185,0,25
28,180,179,0,1
29,178,174,4,36
30,175,174,25,36
31,175,174,25,36
32,179,195,1,225
33,177,169,9,121
34,177,179,9,1
35,177,179,9,1
36,175,169,25,121
37,180,198,0,324
38,177,166,9,196
39,179,185,1,25
40,179,185,1,25
41,181,182,1,4
42,179,171,1,81
43,180,185,0,25
44,180,185,0,25
45,180,179,0,1
46,178,174,4,36
47,179,182,1,4
48,177,171,9,81
49,177,171,9,81
50,183,205,9,625
51,181,171,1,81
52,180,179,0,1
53,180,179,0,1
54,170,166,100,196
55,173,185,49,25
56,172,169,64,121
57,175,185,25,25
58,175,185,25,25
59,174,169,36,121
60,183,217,9,1369
61,177,155,9,625
62,177,155,9,625
63,179,188,1,64
64,178,176,4,16
65,180,188,0,64
66,178,171,4,81
67,178,171,4,81
68,179,182,1,4
69,178,174,4,36
70,175,174,25,36
71,175,174,25,36
72,177,185,9,25
73,184,185,16,25
74,180,164,0,256
75,181,185,1,25
76,181,185,1,25
77,182,182,4,4
78,181,176,1,16
79,182,185,4,25
80,182,185,4,25
81,180,188,0,64
82,182,188,4,64
83,179,169,1,121
84,182,195,4,225
85,182,195,4,225
86,177,159,9,441
87,182,202,4,484
88,180,174,0,36
89,180,174,0,36
90,175,174,25,36
91,179,195,1,225
92,178,174,4,36
93,174,171,36,81
94,174,171,36,81
95,175,179,25,1
96,182,195,4,225
97,178,164,4,256
98,178,164,4,256
99,179,182,1,4
100,177,171,9,81
101,179,185,1,25
102,185,188,25,64
103,185,188,25,64
104,183,176,9,16
105,180,179,0,1
106,172,169,64,121
107,172,169,64,121
108,174,182,36,4
109,171,161,81,361
110,178,205,4,625
111,179,179,1,1
112,179,179,1,1
113,178,174,4,36
114,179,185,1,25
115,177,169,9,121
116,177,169,9,121
117,177,179,9,1
118,180,188,0,64
119,181,182,1,4
120,180,176,0,16
121,180,176,0,16
122,181,185,1,25
123,180,174,0,36
124,174,169,36,121
125,178,195,4,225
126,178,195,4,225
127,177,171,9,81
128,177,176,9,16
129,171,166,81,196
130,171,166,81,196
131,174,185,36,25
132,184,188,16,64
133,182,176,4,16
134,182,182,4,4
135,182,182,4,4
136,180,171,0,81
137,183,195,9,225
138,181,171,1,81
139,181,171,1,81
140,182,188,4,64
141,181,179,1,1
142,177,169,9,121
143,178,182,4,4
144,178,182,4,4
145,178,176,4,16
146,179,185,1,25
147,178,176,4,16
148,178,176,4,16
149,175,171,25,81
150,176,182,16,4
151,178,179,4,1
152,179,179,1,1
153,179,179,1,1
154,187,188,49,64
155,184,174,16,36
156,175,174,25,36
157,175,174,25,36
158,174,174,36,36
159,177,188,9,64
160,176,174,16,36
161,176,174,16,36
162,172,164,64,256
163,179,209,1,841
164,176,164,16,256
165,178,185,4,25
166,178,185,4,25
167,181,182,1,4
168,179,171,1,81
169,173,171,49,81
170,177,191,9,121
171,177,191,9,121
172,182,185,4,25
173,179,169,1,121
174,179,179,1,1
175,179,179,1,1
176,180,185,0,25
177,179,174,1,36
178,179,179,1,1
179,179,179,1,1
180,179,179,1,1
181,181,188,1,64
182,184,185,16,25
183,180,166,0,196
184,180,166,0,196
185,180,170,0,100
186,179,174,1,36
187,186,174,36,36
188,185,179,25,1
189,185,179,25,1
190,179,174,1,36
191,180,185,0,25
192,180,179,0,1
193,180,179,0,1
194,179,185,1,25
195,183,198,9,324
196,181,174,1,36
197,180,180,0,0
198,180,180,0,0
199,182,191,4,121
200,179,169,1,121
201,180,182,0,4
202,180,182,0,4
203,183,185,9,25
204,181,174,1,36
205,182,185,4,25
206,180,171,0,81
207,180,171,0,81
208,182,188,4,64
209,180,171,0,81
210,180,182,0,4
211,180,182,0,4
212,180,179,0,1
213,179,176,1,16
214,176,174,16,36
215,178,188,4,64
216,178,188,4,64
217,181,182,1,4
218,191,191,121,121
219,185,161,25,361
220,185,161,25,361
221,176,171,16,81
222,177,179,9,1
223,180,185,0,25
224,183,185,9,25
225,183,185,9,25
226,181,174,1,36
227,174,169,36,121
228,176,182,16,4
229,176,182,16,4
230,182,185,4,25
231,181,179,1,1
232,184,195,16,225
233,181,181,1,1
234,181,181,1,1
235,180,174,0,36
236,178,176,4,16
237,181,181,1,1
238,194,213,16,1089
,,,17.1059322,96.46186441
