Index,Array 1,Array 2,,
0,160,46,,
1,162,169,4,81
2,170,182,100,484
3,170,182,100,484
4,169,164,81,16
5,167,166,49,36
6,165,164,25,16
7,165,164,25,16
8,163,161,9,1
9,158,155,4,25
10,158,155,4,25
11,156,155,16,25
12,157,161,9,1
13,157,161,9,1
14,156,151,16,81
15,158,166,4,36
16,165,166,25,36
17,165,166,25,36
18,163,155,9,25
19,159,157,1,9
20,159,157,1,9
21,159,161,1,1
22,159,157,1,9
23,159,157,1,9
24,159,159,1,1
25,160,164,0,16
26,160,164,0,16
27,159,155,1,25
28,158,157,4,9
29,157,157,9,9
30,157,157,9,9
31,157,159,9,1
32,157,157,9,9
33,157,157,9,9
34,158,164,4,16
35,157,153,9,49
36,157,153,9,49
37,159,166,1,36
38,158,153,4,49
39,158,153,4,49
40,160,166,0,36
41,159,155,1,25
42,159,155,1,25
43,156,155,16,25
44,158,166,4,36
45,156,149,16,121
46,156,149,16,121
47,158,166,4,36
48,157,155,9,25
49,157,155,9,25
50,159,166,1,36
51,158,155,4,25
52,158,155,4,25
53,155,155,25,25
54,155,157,25,9
55,155,157,25,9
56,157,161,9,1
57,156,153,16,49
58,157,159,9,1
59,157,159,9,1
60,156,153,16,49
61,156,157,16,9
62,156,157,16,9
63,157,157,9,9
64,163,182,9,484
65,163,182,9,484
66,162,157,4,9
67,162,164,4,16
68,160,153,0,49
69,160,153,0,49
70,153,147,49,169
71,155,161,25,1
72,155,161,25,1
73,161,166,1,36
74,157,141,9,361
75,157,141,9,361
76,158,161,4,1
77,164,164,16,16
78,164,164,16,16
79,164,164,16,16
80,163,159,9,1
81,163,159,9,1
82,158,149,4,121
83,160,169,0,81
84,159,157,1,9
85,159,157,1,9
86,157,157,9,9
87,159,166,1,36
88,159,166,1,36
89,162,164,4,16
90,160,161,0,1
91,160,161,0,1
92,160,161,0,1
93,161,164,1,16
94,161,164,1,16
95,160,157,0,9
96,157,157,9,9
97,158,161,4,1
98,158,161,4,1
99,158,157,4,9
100,156,151,16,81
101,156,151,16,81
102,158,166,4,36
103,157,155,9,25
104,157,155,9,25
105,159,166,1,36
106,157,147,9,169
107,157,147,9,169
108,159,169,1,81
109,158,155,4,25
110,160,169,0,81
111,160,169,0,81
112,158,151,4,81
113,159,164,1,16
114,159,164,1,16
115,165,174,25,196
116,160,141,0,361
117,160,141,0,361
118,159,159,1,1
119,155,153,25,49
120,155,153,25,49
121,158,169,4,81
122,159,159,1,1
123,159,157,1,9
124,159,157,1,9
125,159,161,1,1
126,157,151,9,81
127,157,151,9,81
128,157,157,9,9
129,160,171,0,121
130,160,171,0,121
131,164,166,16,36
132,161,147,1,169
133,161,147,1,169
134,160,159,0,1
135,161,164,1,16
136,161,159,1,1
137,161,159,1,1
138,158,151,4,81
139,161,174,1,196
140,161,174,1,196
141,157,143,9,289
142,158,161,4,1
143,158,161,4,1
144,162,169,4,81
145,161,157,1,9
146,162,164,4,16
147,162,164,4,16
148,161,157,1,9
149,163,169,9,81
150,163,169,9,81
151,159,145,1,225
152,160,164,0,16
153,160,164,0,16
154,159,153,1,49
155,162,174,4,196
156,162,174,4,196
157,159,147,1,169
158,159,161,1,1
159,161,161,1,1
160,161,161,1,1
161,161,159,1,1
162,162,164,4,16
163,162,164,4,16
164,159,149,1,121
165,160,164,0,16
166,160,164,0,16
167,160,159,0,1
168,162,169,4,81
169,162,169,4,81
170,158,141,4,361
171,158,159,4,1
172,161,171,1,121
173,161,171,1,121
174,160,157,0,9
175,162,169,4,81
176,162,169,4,81
177,163,164,9,16
178,162,159,4,1
179,162,159,4,1
180,159,157,1,9
181,159,159,1,1
182,160,161,0,1
183,160,161,0,1
184,158,151,4,81
185,158,159,4,1
186,158,159,4,1
187,158,157,4,9
188,159,161,1,1
189,159,161,1,1
190,159,159,1,1
191,159,162,1,4
192,159,162,1,4
193,161,171,1,121
194,161,171,1,121
195,161,171,1,121
196,152,116,64,1936
197,152,153,64,49
198,155,164,25,16
199,155,164,25,16
200,159,161,1,1
201,159,159,1,1
202,159,159,1,1
203,158,153,4,49
204,159,161,1,1
205,159,161,1,1
206,161,161,1,1
207,161,159,1,1
208,161,159,1,1
209,160,159,0,1
210,159,159,1,1
211,156,155,16,25
212,156,155,16,25
213,158,164,4,16
214,159,159,1,1
215,159,159,1,1
216,159,157,1,9
217,160,164,0,16
218,160,164,0,16
219,159,153,1,49
220,160,164,0,16
221,160,164,0,16
222,158,151,4,81
223,160,166,0,36
224,159,153,1,49
225,159,153,1,49
226,159,161,1,1
227,161,161,1,1
228,161,161,1,1
,,,7.557017544,61.21052632
