Index,Desired BPM,Array 1,Array 2
0.0,180.0,108.26127659574468,61.306382978723406
1.0,180.0,108.26127659574468,61.306382978723406
2.0,180.0,108.26127659574468,61.306382978723406
3.0,180.0,108.26127659574468,61.306382978723406
4.0,180.0,108.26127659574468,61.306382978723406
5.0,180.0,108.26127659574468,61.306382978723406
6.0,180.0,108.26127659574468,61.306382978723406
7.0,180.0,108.26127659574468,61.306382978723406
8.0,180.0,108.26127659574468,61.306382978723406
9.0,180.0,108.26127659574468,61.306382978723406
10.0,180.0,108.26127659574468,61.306382978723406
11.0,180.0,108.26127659574468,61.306382978723406
12.0,180.0,108.26127659574468,61.306382978723406
13.0,180.0,108.26127659574468,61.306382978723406
14.0,180.0,108.26127659574468,61.306382978723406
15.0,180.0,108.26127659574468,61.306382978723406
16.0,180.0,108.26127659574468,61.306382978723406
17.0,180.0,108.26127659574468,61.306382978723406
18.0,180.0,108.26127659574468,61.306382978723406
19.0,180.0,108.26127659574468,61.306382978723406
20.0,180.0,108.26127659574468,61.306382978723406
21.0,180.0,108.26127659574468,61.306382978723406
22.0,180.0,109.91024576639165,116.5061224489796
23.0,180.0,109.91024576639165,116.5061224489796
24.0,180.0,109.91024576639165,116.5061224489796
25.0,180.0,109.91024576639165,116.5061224489796
26.0,180.0,109.91024576639165,116.5061224489796
27.0,180.0,109.91024576639165,116.5061224489796
28.0,180.0,109.91024576639165,116.5061224489796
29.0,180.0,109.91024576639165,116.5061224489796
30.0,180.0,109.91024576639165,116.5061224489796
31.0,180.0,109.91024576639165,116.5061224489796
32.0,180.0,109.91024576639165,116.5061224489796
33.0,180.0,109.91024576639165,116.5061224489796
34.0,180.0,109.91024576639165,116.5061224489796
35.0,180.0,109.91024576639165,116.5061224489796
36.0,180.0,109.91024576639165,116.5061224489796
37.0,180.0,109.91024576639165,116.5061224489796
38.0,180.0,109.91024576639165,116.5061224489796
39.0,180.0,109.91024576639165,116.5061224489796
40.0,180.0,109.91024576639165,116.5061224489796
41.0,180.0,109.91024576639165,116.5061224489796
42.0,180.0,109.91024576639165,116.5061224489796
43.0,180.0,109.91024576639165,116.5061224489796
44.0,180.0,109.91024576639165,116.5061224489796
45.0,180.0,109.91024576639165,116.5061224489796
46.0,180.0,115.25560863861782,120.14736842105263
47.0,180.0,115.25560863861782,120.14736842105263
48.0,180.0,115.25560863861782,120.14736842105263
49.0,180.0,115.25560863861782,120.14736842105263
50.0,180.0,115.25560863861782,120.14736842105263
51.0,180.0,115.25560863861782,120.14736842105263
52.0,180.0,115.25560863861782,120.14736842105263
53.0,180.0,115.25560863861782,120.14736842105263
54.0,180.0,115.25560863861782,120.14736842105263
55.0,180.0,115.25560863861782,120.14736842105263
56.0,180.0,115.25560863861782,120.14736842105263
57.0,180.0,115.25560863861782,120.14736842105263
58.0,180.0,115.25560863861782,120.14736842105263
59.0,180.0,115.25560863861782,120.14736842105263
60.0,180.0,115.25560863861782,120.14736842105263
61.0,180.0,115.25560863861782,120.14736842105263
62.0,180.0,115.25560863861782,120.14736842105263
63.0,180.0,115.25560863861782,120.14736842105263
64.0,180.0,115.25560863861782,120.14736842105263
65.0,180.0,115.25560863861782,120.14736842105263
66.0,180.0,115.25560863861782,120.14736842105263
67.0,180.0,115.25560863861782,120.14736842105263
68.0,180.0,115.25560863861782,120.14736842105263
69.0,180.0,115.25560863861782,120.14736842105263
70.0,180.0,115.25560863861782,120.14736842105263
71.0,180.0,116.19349399638915,116.5061224489796
72.0,180.0,116.19349399638915,116.5061224489796
73.0,180.0,116.19349399638915,116.5061224489796
74.0,180.0,116.19349399638915,116.5061224489796
75.0,180.0,116.19349399638915,116.5061224489796
76.0,180.0,116.19349399638915,116.5061224489796
77.0,180.0,116.19349399638915,116.5061224489796
78.0,180.0,116.19349399638915,116.5061224489796
79.0,180.0,116.19349399638915,116.5061224489796
80.0,180.0,116.19349399638915,116.5061224489796
81.0,180.0,116.19349399638915,116.5061224489796
82.0,180.0,116.19349399638915,116.5061224489796
83.0,180.0,116.19349399638915,116.5061224489796
84.0,180.0,116.19349399638915,116.5061224489796
85.0,180.0,116.19349399638915,116.5061224489796
86.0,180.0,116.19349399638915,116.5061224489796
87.0,180.0,116.19349399638915,116.5061224489796
88.0,180.0,116.19349399638915,116.5061224489796
89.0,180.0,116.19349399638915,116.5061224489796
90.0,180.0,116.19349399638915,116.5061224489796
91.0,180.0,116.19349399638915,116.5061224489796
92.0,180.0,116.19349399638915,116.5061224489796
93.0,180.0,116.19349399638915,116.5061224489796
94.0,180.0,122.06793871648858,124.02608695652174
95.0,180.0,122.06793871648858,124.02608695652174
96.0,180.0,122.06793871648858,124.02608695652174
97.0,180.0,122.06793871648858,124.02608695652174
98.0,180.0,122.06793871648858,124.02608695652174
99.0,180.0,122.06793871648858,124.02608695652174
100.0,180.0,122.06793871648858,124.02608695652174
101.0,180.0,122.06793871648858,124.02608695652174
102.0,180.0,122.06793871648858,124.02608695652174
103.0,180.0,122.06793871648858,124.02608695652174
104.0,180.0,122.06793871648858,124.02608695652174
105.0,180.0,122.06793871648858,124.02608695652174
106.0,180.0,122.06793871648858,124.02608695652174
107.0,180.0,122.06793871648858,124.02608695652174
108.0,180.0,122.06793871648858,124.02608695652174
109.0,180.0,122.06793871648858,124.02608695652174
110.0,180.0,122.06793871648858,124.02608695652174
111.0,180.0,122.06793871648858,124.02608695652174
112.0,180.0,122.06793871648858,124.02608695652174
113.0,180.0,122.06793871648858,124.02608695652174
114.0,180.0,122.06793871648858,124.02608695652174
115.0,180.0,122.06793871648858,124.02608695652174
116.0,180.0,122.06793871648858,124.02608695652174
117.0,180.0,122.06793871648858,124.02608695652174
118.0,180.0,122.54601693718666,122.70537634408602
119.0,180.0,122.54601693718666,122.70537634408602
120.0,180.0,122.54601693718666,122.70537634408602
121.0,180.0,122.54601693718666,122.70537634408602
122.0,180.0,122.54601693718666,122.70537634408602
123.0,180.0,122.54601693718666,122.70537634408602
124.0,180.0,122.54601693718666,122.70537634408602
125.0,180.0,122.54601693718666,122.70537634408602
126.0,180.0,122.54601693718666,122.70537634408602
127.0,180.0,122.54601693718666,122.70537634408602
128.0,180.0,122.54601693718666,122.70537634408602
129.0,180.0,122.54601693718666,122.70537634408602
130.0,180.0,122.54601693718666,122.70537634408602
131.0,180.0,122.54601693718666,122.70537634408602
132.0,180.0,122.54601693718666,122.70537634408602
133.0,180.0,122.54601693718666,122.70537634408602
134.0,180.0,122.54601693718666,122.70537634408602
135.0,180.0,122.54601693718666,122.70537634408602
136.0,180.0,122.54601693718666,122.70537634408602
137.0,180.0,122.54601693718666,122.70537634408602
138.0,180.0,122.54601693718666,122.70537634408602
139.0,180.0,122.54601693718666,122.70537634408602
140.0,180.0,122.54601693718666,122.70537634408602
141.0,180.0,122.54601693718666,122.70537634408602
142.0,180.0,121.81848021641599,118.90833333333333
143.0,180.0,121.81848021641599,118.90833333333333
144.0,180.0,121.81848021641599,118.90833333333333
145.0,180.0,121.81848021641599,118.90833333333333
146.0,180.0,121.81848021641599,118.90833333333333
147.0,180.0,121.81848021641599,118.90833333333333
148.0,180.0,121.81848021641599,118.90833333333333
149.0,180.0,121.81848021641599,118.90833333333333
150.0,180.0,121.81848021641599,118.90833333333333
151.0,180.0,121.81848021641599,118.90833333333333
152.0,180.0,121.81848021641599,118.90833333333333
